meta.config,problem.n,problem.nb,meta.cycle,distr.procs,distr.hosts,stc.code,stc.mpi,stc.mpic,result.time
sw2,201326590,6291460,2.0,32,2,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,10.029
sw2,201326590,3145730,2.0,64,4,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,12.515
sw2,201326590,12582910,2.0,16,1,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,3.74
sw2,201326590,6291460,2.0,32,2,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,8.846
sw2,201326590,3145730,2.0,64,4,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,13.796
sw2,201326590,12582910,2.0,16,1,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,3.713
sw2,201326590,6291460,2.0,32,2,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,9.237
sw2,201326590,12582910,2.0,16,1,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,3.544
sw2,201326590,6291460,2.0,32,2,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,6.642
sw2,201326590,3145730,2.0,64,4,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,14.865
sw2,201326590,12582910,2.0,16,1,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,3.443
sw2,201326590,6291460,2.0,32,2,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,8.524
sw2,201326590,3145730,2.0,64,4,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,17.413
sw2,201326590,6291460,2.0,32,2,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,9.98
sw2,201326590,3145730,2.0,64,4,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,17.008
sw2,201326590,12582910,2.0,16,1,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,3.809
sw2,201326590,6291460,2.0,32,2,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,8.412
sw2,201326590,3145730,2.0,64,4,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,11.633
sw2,201326590,12582910,2.0,16,1,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,3.704
sw2,201326590,6291460,2.0,32,2,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,10.394
sw2,201326590,3145730,2.0,64,4,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,14.163
sw2,201326590,6291460,2.0,32,2,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,10.176
sw2,201326590,3145730,2.0,64,4,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,15.008
sw2,201326590,3145730,2.0,64,4,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,12.996
sw2,268435460,16777220,2.0,16,1,2.5791559545009e+18,19989694.655484386,2.9999999999999996,5.012
sw2,268435460,16777220,2.0,16,1,2.5791559545009e+18,19989694.655484386,2.9999999999999996,4.675
sw2,268435460,8388610,2.0,32,2,2.5791559545009e+18,19989694.655484386,2.9999999999999996,8.89
sw2,268435460,16777220,2.0,16,1,2.5791559545009e+18,19989694.655484386,2.9999999999999996,5.026
sw2,268435460,8388610,2.0,32,2,2.5791559545009e+18,19989694.655484386,2.9999999999999996,7.903
sw2,268435460,4194300,2.0,64,4,2.5791559545009e+18,19989694.655484386,2.9999999999999996,13.115
sw2,268435460,16777220,2.0,16,1,2.5791559545009e+18,19989694.655484386,2.9999999999999996,5.074
sw2,268435460,16777220,2.0,16,1,2.5791559545009e+18,19989694.655484386,2.9999999999999996,4.665
sw2,268435460,8388610,2.0,32,2,2.5791559545009e+18,19989694.655484386,2.9999999999999996,9.599
sw2,268435460,16777220,2.0,16,1,2.5791559545009e+18,19989694.655484386,2.9999999999999996,4.657
sw2,268435460,8388610,2.0,32,2,2.5791559545009e+18,19989694.655484386,2.9999999999999996,10.413
sw2,268435460,4194300,2.0,64,4,2.5791559545009e+18,19989694.655484386,2.9999999999999996,14.641
sw2,268435460,16777220,2.0,16,1,2.5791559545009e+18,19989694.655484386,2.9999999999999996,5.021
sw2,268435460,8388610,2.0,32,2,2.5791559545009e+18,19989694.655484386,2.9999999999999996,8.49
sw2,268435460,4194300,2.0,64,4,2.5791559545009e+18,19989694.655484386,2.9999999999999996,14.086
sw2,268435460,16777220,2.0,16,1,2.5791559545009e+18,19989694.655484386,2.9999999999999996,4.76
sw2,268435460,8388610,2.0,32,2,2.5791559545009e+18,19989694.655484386,2.9999999999999996,9.409
sw2,268435460,16777220,2.0,16,1,2.5791559545009e+18,19989694.655484386,2.9999999999999996,4.658
sw2,268435460,8388610,2.0,32,2,2.5791559545009e+18,19989694.655484386,2.9999999999999996,9.328
sw2,268435460,4194300,2.0,64,4,2.5791559545009e+18,19989694.655484386,2.9999999999999996,17.14
sw2,268435460,16777220,2.0,16,1,2.5791559545009e+18,19989694.655484386,2.9999999999999996,4.713
sw2,268435460,8388610,2.0,32,2,2.5791559545009e+18,19989694.655484386,2.9999999999999996,9.569
sw2,268435460,4194300,2.0,64,4,2.5791559545009e+18,19989694.655484386,2.9999999999999996,17.588
sw2,268435460,8388610,2.0,32,2,2.5791559545009e+18,19989694.655484386,2.9999999999999996,8.769
sw2,268435460,4194300,2.0,64,4,2.5791559545009e+18,19989694.655484386,2.9999999999999996,16.091
sw2,268435460,16777220,2.0,16,1,2.5791559545009e+18,19989694.655484386,2.9999999999999996,5.03
sw2,268435460,8388610,2.0,32,2,2.5791559545009e+18,19989694.655484386,2.9999999999999996,8.243
sw2,268435460,4194300,2.0,64,4,2.5791559545009e+18,19989694.655484386,2.9999999999999996,13.619
sw2,268435460,16777220,2.0,16,1,2.5791559545009e+18,19989694.655484386,2.9999999999999996,4.954
sw2,268435460,8388610,2.0,32,2,2.5791559545009e+18,19989694.655484386,2.9999999999999996,9.073
sw2,268435460,4194300,2.0,64,4,2.5791559545009e+18,19989694.655484386,2.9999999999999996,15.929
sw2,268435460,8388610,2.0,32,2,2.5791559545009e+18,19989694.655484386,2.9999999999999996,9.3
sw2,268435460,4194300,2.0,64,4,2.5791559545009e+18,19989694.655484386,2.9999999999999996,15.508
sw2,268435460,4194300,2.0,64,4,2.5791559545009e+18,19989694.655484386,2.9999999999999996,13.651
sw2,201326590,12582910,2.0,16,1,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,4.45
sw2,201326590,12582910,2.0,16,1,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,3.737
sw2,201326590,6291460,2.0,32,2,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,5.6
sw2,201326590,12582910,2.0,16,1,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,3.024
sw2,201326590,6291460,2.0,32,2,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,8.18
sw2,201326590,3145730,2.0,64,4,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,11.786
sw2,201326590,12582910,2.0,16,1,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,4.528
sw2,201326590,12582910,2.0,16,1,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,3.756
sw2,201326590,6291460,2.0,32,2,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,8.172
sw2,201326590,12582910,2.0,16,1,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,3.57
sw2,201326590,6291460,2.0,32,2,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,9.547
sw2,201326590,3145730,2.0,64,4,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,11.81
sw2,201326590,12582910,2.0,16,1,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,3.042
sw2,201326590,6291460,2.0,32,2,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,7.884
sw2,201326590,3145730,2.0,64,4,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,13.461
sw2,201326590,12582910,2.0,16,1,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,3.872
sw2,201326590,6291460,2.0,32,2,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,7.208
sw2,201326590,12582910,2.0,16,1,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,3.557
sw2,201326590,6291460,2.0,32,2,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,6.84
sw2,201326590,3145730,2.0,64,4,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,16.662
sw2,201326590,12582910,2.0,16,1,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,3.523
sw2,201326590,6291460,2.0,32,2,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,9.613
sw2,201326590,3145730,2.0,64,4,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,16.573
sw2,201326590,6291460,2.0,32,2,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,7.486
sw2,201326590,3145730,2.0,64,4,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,15.2
sw2,201326590,12582910,2.0,16,1,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,3.849
sw2,201326590,6291460,2.0,32,2,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,8.895
sw2,201326590,3145730,2.0,64,4,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,12.711
sw2,201326590,12582910,2.0,16,1,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,3.781
sw2,201326590,6291460,2.0,32,2,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,10.396
sw2,201326590,3145730,2.0,64,4,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,15.268
sw2,201326590,6291460,2.0,32,2,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,9.379
sw2,201326590,3145730,2.0,64,4,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,16.046
sw2,201326590,3145730,2.0,64,4,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,10.858
sw2,301989890,18874370,2.0,16,1,3.2614362420660065e+18,21621944.703918826,2.9999999999999996,5.3
